26496059:['html css coding', 'excellent workflow management', 'adobe photoshop']
29524570:['access', 'digital video', 'recording']
15936656:['swimming', 'cooking  photographing', 'playing piano']
13557622:['people skills', 'quality', 'reality']
41506705:['project management', 'laser', 'linux']
32954522:['retail', 'financial', 'phone']
44185767:['team lead', 'erp', 'government']
14014749:[]
34349255:['clients', 'sales', 'presentations']
16288901:[]
25422388:['quick learner', 'resourceful researcher', 'leadership skills']
22496394:['autocad', 'marketing', 'documentation']
38744475:['autocad', 'adobe creative suite', 'planograms']
67582956:['detail oriented', 'team player', 'microsoft word']
26676567:['and event coordinating', 'desktop publishing software  photoshop', 'strong track record of being solely responsible for marketing campaigns']
14724186:['clients', 'paint', 'sales']
10748989:['team lead', 'press', 'project management']
26924514:['project management', 'listening', 'communicator']
12674307:['merchandising', 'retail', 'sales']
23951429:['interpersonal skills', 'marketing', 'project management']
26046064:['expert knowledge in the following software programs', 'flash', 'adobe photoshop']
28326441:['familiar with autocad', 'photoshop', 'with goals to learn sketchup and revit in near future']
78149576:['billings', 'cash handling', 'magic']
17555081:['grant writing', 'project management', 'written communication']
39776400:['cad', 'pdf', 'features']
37263609:['personal  rhino  revit  cinema  d  all adobe cs  autocad  hdr imaging  lighting  market research   dmax  maya  revit  modeler  sculptor', 'professional  imaginative and creative thinking skills  ability to analyze and critically assess problems  ability to see the big picture as well as giving attention to the smallest detail  ability to communicate effectively  understanding of history  cultural and environmental concerns  lateral thinking skills to solve complex problems  coordination and interpersonal skills to manage a complex project team', 'qualifications  design talent  engineering ability  social awareness  business aptitude']
13518263:['content', 'clients', 'color']
11155153:['autodesk inventor pro       routed systems   tube and pipe  and autodesk vault professional', 'extremely computer literate and proficient in the use of microsoft suites', 'certification in pro engineer']
54201930:['ads', 'marketing collateral', 'basis']
10466583:[]
26790545:['prototyping', 'keypoint', 'adobe photoshop']
11958994:['retail', 'consultation', 'excel']
30968749:['technical experience with software platforms', 'project management', 'cad']
20932019:['automotive', 'databases', 'dmodeling']
51681660:['quick learner', 'excel', 'camera']
34657584:['primavera', 'government', 'estimating']
15471999:['proved ability to be persistence', 'profound ability to address customer concerns', 'particularly the accuracy and productivity related to work flow  in depth ability to multi task and manage multiple projects in fast paced environment']
18979238:['spanish', 'access', 'government']
26622051:['qa', 'project management', 'cad']
22675694:['confidence and empathy', 'great organizational skills', 'active listening skills']
25023614:['networking', 'real estate', 'purchasing']
20390397:['hart communication', 'some sap experience', 'erp']
17199951:['retail', 'excel', 'photoshop']
14743911:['liaison', 'learning management system', 'online learning']
24455357:['word', 'outlook', 'web pdm']
91153752:['omnigraffle', 'photoshop', 'html']
14528265:['quick learner', 'tops', 'multi tasking']
18460045:['e mail', 'marketing materials', 'excel']
20986595:['ads', 'audio production', 'budget planning']
20748926:['purchasing', 'office equipment', 'travel arrangements']
32532982:['navisworks', 'bentley autoplant', 'autodesk vault']
34317538:['user centered design']
19195747:['retail', 'phone', 'rendering']
12547982:['consultation', 'detail oriented', 'excel']
94417768:['silk screen printing', 'freehand', 'catalogue and brochure layout and design']
24655918:['ioline', 'invoicing  quick books', 'hs']
27497542:['excel', 'microsoft office  word', 'powerpoint']
62312955:['using gerber computer aided design systems', 'manual sketching and mood boarding for look development of characters', 'digital illustration of art concepts for print']
22506245:['basic knowledge of web development with adobe dreamweaver', 'team player', 'direct mail']
28663949:['project management', 'sales', 'd rendering']
39434376:['leader', 'spanish', 'team player']
13998435:['access', 'approach', 'council']
30965258:['front of house organization', 'takeout management', 'table setting arrangements']
18835363:['clear public speaking skills', 'project management', 'program evaluation']
26503829:['tops', 'excel', 'plm']
18198627:['cad', 'store manager', 'excel']
39252859:['medical publication', 'marketing collateral', 'publication']
34051710:['ads', 'brochures', 'management information systems']
37664296:['design', 'ads', 'project management']
21916744:['press', 'logistics', 'marketing materials']
15425154:['marketing collateral', 'budget planning', 'project management']
24285142:['ads', 'editorial', 'scanners']
24583187:['project management', 'approach', 'building codes']
29865476:['years in branch management position with   permanent employees  also to include   or   holiday employees and drivers', 'over    years of customer service experience', 'talented multi tasker']
25949631:['bookkeeping', 'zoho', 'outlook']
21283733:['performance reviews', 'publication', 'marketing materials']
51018476:['unigraphics nx', 'ms word', 'ms powerpoint']
13014900:['illustrator plus word programs such as microsoft word and excel', 'working with other s ideas', 'researching']
44145704:['technology orientated', 'leader', 'team player']
18795567:['project management', 'cad', 'engineering design']
42384185:['web development and graphic design', 'automotive', 'camera']
26942552:['sales', 'retention strategies', 'exceptional customer service']
67645662:['logistics', 'cad', 'telecommunications']
34511655:['e mail', 'press', 'retail']
37695494:['retail', 'adobe creative suite', 'english']
93301686:['listening', 'excel', 'job analysis']
36856210:['domain active directory layout', 'risk management', 'accreditation boundarys']
21780877:['feasibility studies', 'project management', 'telecommunications']
33241454:['protocols', 'army', 'network']
25990239:['department of health', 'inventory control', 'excel']
16899268:['requirements gathering', 'project management', 'team player']
91635250:['repair', 'staff management', 'end user support']
19796840:['access', 'developer', 'dell stat']
15651486:['scanners', 'erp', 'phone system']
52246737:['compliance manager', 'gateway', 'technical trainer']
12045067:['qa', 'telecommunications', 'government']
13836471:['budget planning', 'access', 'databases']
14789139:['cad', 'access', 'training materials']
36434348:['project management', 'marketing materials', 'government']
27536013:['ms sql', 'erp', 'project management']
18301617:['logistics', 'visio professional', 'access']
24913648:['access', 'networking', 'tcp ip']
26801767:['novell netware', 'access', 'government']
27372171:['microsoft outlook', 'telecommunications', 'software imaging']
91697974:['project management', 'detail oriented', 'managerial experience']
28672970:['e mail', 'infrastructure design', 'erp']
66832845:['ms exchange server', 'linux', 'active directory account management and troubleshooting']
25207620:['years  experience  dos  intermediate', 'hardware installation', 'networking']
41344156:['performance reviews', 'contract negotiation', 'disaster recovery plans']
68460556:['american sign language', 'problem solving skills', 'works']
10247517:['disaster recovery planning', 'erp', 'access']
25959103:['nt servers', 'ms sql', 'arabic']
13385306:['iis', 'requirements analysis', 'project management']
